Bug ID,Description,Steps,Excepted,Actual,Severity,Status,Priority
BUG-001,Click error cross button,1. Enter invalid password for error message to appear.                                     2.Click cross button ,Clear error message to allow re-entry of password,Nothing happen and error message still remains,Medium,Open,Medium
BUG-002,"The product description includes non-user-friendly ""carry.allTheThings()"". Its developer-style text.",1.Login to SauceDemo                                               2.Navigating through the product listing to Sauce Labs Backpack                            3. Open the product description                                ,Product description should be clear and user-friendly,"Product description contains ""carry.allTheThings() """,Low,Open,Medium
BUG-003,Not able to add quantity of a product in the cart and while shopping,1. Select product to add to cart                    2. Navigate to cart ,Able to add quantity under the product before the adding to cart. And increase the quantity in the cart,Under the product they is no option to add product before adding to cart. When in cart they is a box for quantity that does not allow editing to increase quantity,High,Open,High
BUG-004,All Items tab not redirecting,1. Open the stack menu on the top left       2. Click All Items,Redirection to products page,"Nothing happens, only highlighting when hovering over it.",Low,Open,Low
BUG-005,About tab redirects incorrectly,1. In the menu                                                 2.Click About tab,About tab should redirect to a landing page/ brand page,Tab redirects to saucelab.com,High,Open,High
BUG-006,Empty cart checkout,1. Click cart without addng an item              2. Click checkout,Error message validating empty cart cant be checked out,Checkout can be completed at zero item and balance,Medium,Open,Medium
